9. TRIFD,10. FACILITY NAME,12. FACILITY CITY,13. FACILITY COUNTY,14. FACILITY STATE,15. FACILITY ZIP CODE,LATITUDE,LONGITUDE,81. CHEMICAL NAME,84. CLASSIFICATION,85. UNIT OF MEASURE,86. HAZARDOUS AIR POLLUTANT - HAPS,87. CARCINOGEN,88. PFAS_IND,89. METAL IND,118. TOTAL AIR EMISSIONS
01810CLFRN150DA,ICP CONSTRUCTION,ANDOVER,ESSEX,MA,1810,42.62351,-71.18146,Chromium compounds (except for chromite ore mined in the Transvaal Region),TRI,Pounds,YES,NO,NO,YES,16
01810CLFRN150DA,ICP CONSTRUCTION,ANDOVER,ESSEX,MA,1810,42.62351,-71.18146,Ethylene glycol,TRI,Pounds,YES,NO,NO,NO,3419.6
01826MJLTM153BR,MAJILITE MANUFACTURING INC,DRACUT,MIDDLESEX,MA,1826,42.70048,-71.24826,Toluene,TRI,Pounds,YES,NO,NO,NO,1744
01826MJLTM153BR,MAJILITE MANUFACTURING INC,DRACUT,MIDDLESEX,MA,1826,42.70048,-71.24826,"N,N-Dimethylformamide",TRI,Pounds,YES,YES,NO,NO,4608
01834WCHST860SA,AW CHESTERTON CO,GROVELAND,ESSEX,MA,1834,42.737765,-71.032505,Chromium,TRI,Pounds,YES,NO,NO,YES,
01834WCHST860SA,AW CHESTERTON CO,GROVELAND,ESSEX,MA,1834,42.737765,-71.032505,Nickel,TRI,Pounds,YES,YES,NO,YES,
02062BRDNC1077P,CERTAINTEED LLC,NORWOOD,NORFOLK,MA,2062,42.167851,-71.207564,"Benzo[g,h,i]perylene",PBT,Pounds,YES,NO,NO,NO,0.0004
02062BRDNC1077P,CERTAINTEED LLC,NORWOOD,NORFOLK,MA,2062,42.167851,-71.207564,Copper compounds,TRI,Pounds,NO,NO,NO,YES,22.38
02062BRDNC1077P,CERTAINTEED LLC,NORWOOD,NORFOLK,MA,2062,42.167851,-71.207564,Zinc compounds,TRI,Pounds,NO,NO,NO,YES,2.94
02062BRDNC1077P,CERTAINTEED LLC,NORWOOD,NORFOLK,MA,2062,42.167851,-71.207564,Lead,PBT,Pounds,NO,YES,NO,YES,0.4384
02062BRDNC1077P,CERTAINTEED LLC,NORWOOD,NORFOLK,MA,2062,42.167851,-71.207564,Mercury,PBT,Pounds,YES,NO,NO,YES,0.1242
02062BRDNC1077P,CERTAINTEED LLC,NORWOOD,NORFOLK,MA,2062,42.167851,-71.207564,Polycyclic aromatic compounds,PBT,Pounds,YES,YES,NO,NO,0.9948
02062BRDNC1077P,CERTAINTEED LLC,NORWOOD,NORFOLK,MA,2062,42.167851,-71.207564,Chromium compounds (except for chromite ore mined in the Transvaal Region),TRI,Pounds,YES,NO,NO,YES,2.56
02370NTNLC254BE,NATIONAL COATING CORP,ROCKLAND,PLYMOUTH,MA,2370,42.10044,-70.90222,Phenol,TRI,Pounds,YES,NO,NO,NO,385.2
02370NTNLC254BE,NATIONAL COATING CORP,ROCKLAND,PLYMOUTH,MA,2370,42.10044,-70.90222,Methanol,TRI,Pounds,YES,NO,NO,NO,163.8
02370NTNLC254BE,NATIONAL COATING CORP,ROCKLAND,PLYMOUTH,MA,2370,42.10044,-70.90222,Formaldehyde,TRI,Pounds,YES,YES,NO,NO,116.1
02563CNLLC9FREE,CANAL GENERATING LLC,SANDWICH,BARNSTABLE,MA,2563,41.7698,-70.5091,"Benzo[g,h,i]perylene",PBT,Pounds,YES,NO,NO,NO,0.01
02563CNLLC9FREE,CANAL GENERATING LLC,SANDWICH,BARNSTABLE,MA,2563,41.7698,-70.5091,Polycyclic aromatic compounds,PBT,Pounds,YES,YES,NO,NO,6.52
02563CNLLC9FREE,CANAL GENERATING LLC,SANDWICH,BARNSTABLE,MA,2563,41.7698,-70.5091,Ammonia,TRI,Pounds,NO,NO,NO,NO,5628
02714TTLST256SA,ACUSHNET CO BALL PLANT II,NORTH DARTMOUTH,BRISTOL,MA,2747,41.71996,-70.96946,Zinc compounds,TRI,Pounds,NO,NO,NO,YES,5
